자치구,대여소명,기준년월,대여건수,반납건수,대여소명_clean,대여소_ID,주소1,주소2,위도,경도
광진구,544. 광남중학교,202502,318,320,광남중학교,ST-256,서울특별시 광진구 광장동 561-15,광남중학교,37.54073,127.102905
광진구,546. 잠실대교북단 교차로,202502,902,899,잠실대교북단 교차로,ST-257,서울특별시 광진구 자양동 722,잠실대교북단 교차로,37.532478,127.085091
광진구,548. 자양나들목,202502,1250,1098,자양나들목,ST-258,서울특별시 광진구 자양동 738,자양나들목,37.52977,127.07486
광진구,549. 아차산역 3번출구,202502,1053,1038,아차산역 3번출구,ST-259,서울특별시 광진구 구의동 96,아차산역 3번출구,37.551224,127.089706
동대문구,600. 휘경2동 주민센터,202502,150,154,휘경2동 주민센터,ST-260,서울특별시 동대문구 한천로 329,휘경2동 주민센터,37.589912,127.06868
동대문구,602. 장안동 사거리,202502,1547,1935,장안동 사거리,ST-262,서울특별시 동대문구 장한로 25길 2,장안동 사거리,37.572174,127.071388
동대문구,607. 신이문역 2번출구,202502,333,327,신이문역 2번출구,ST-267,서울특별시 동대문구 이문동186-1,신이문역 2번출구,37.602711,127.067863
동대문구,608. 전농삼성아파트,202502,144,160,전농삼성아파트,ST-268,서울특별시 동대문구 전농로 192,전농삼성아파트,37.58131,127.055344
동대문구,610. 동대문중 교차로,202502,681,577,동대문중 교차로,ST-270,서울특별시 동대문구 답십리동 524-1,동대문중 교차로,37.573086,127.052162
동대문구,612. 시립동부병원 앞 사거리,202502,1412,1474,시립동부병원 앞 사거리,ST-271,서울특별시 동대문구 용두동 237-10,시립동부병원 앞 사거리,37.573666,127.030815
동대문구,613. 신설동역 10번출구 앞,202502,875,993,신설동역 10번출구 앞,ST-272,서울특별시 동대문구 신설동 92-34,신설동역 10번출구 앞,37.575272,127.023468
동대문구,614. 용두동 사거리,202502,1083,1113,용두동 사거리,ST-273,서울특별시 동대문구 용두동 237-10,용두동 사거리,37.577686,127.031013
동대문구,617. 청솔우성아파트 앞,202502,440,442,청솔우성아파트 앞,ST-276,서울특별시 동대문구 답십리동 94-2,청솔우성아파트 앞,37.574203,127.057693
영등포구,228. 선유도역 3번출구 앞,202502,1324,1313,선유도역 3번출구 앞,ST-278,서울특별시 영등포구 양평동4가 202-1,선유도역 3번출구 앞,37.53846,126.894508
영등포구,229. 양평1 보행육교 앞,202502,1162,1132,양평1 보행육교 앞,ST-279,서울특별시 영등포구 양평동4가 20-4,양평1 보행육교 앞,37.535873,126.892181
영등포구,231. 남부고용노동지청 남측,202502,1266,1274,남부고용노동지청 남측,ST-280,서울특별시 영등포구 양평동1가 115-2,남부고용노동지청 남측,37.524506,126.891823
영등포구,232. 양평우림 이비즈센타 앞,202502,1543,1533,양평우림 이비즈센타 앞,ST-281,서울특별시 영등포구 양평동3가 14-1,양평우림 이비즈센타 앞,37.52565,126.887817
영등포구,235. 신길동 우리은행 옆,202502,306,300,신길동 우리은행 옆,ST-284,서울특별시 영등포구 신길동 250-4,신길동 우리은행 옆,37.504566,126.910233
영등포구,236. 문래동자이아파트 앞,202502,1555,1722,문래동자이아파트 앞,ST-285,서울특별시 영등포구 문래동3가 68-1,문래동자이아파트 앞,37.516155,126.894615
영등포구,238. 제2구민체육센타 앞,202502,1942,1990,제2구민체육센타 앞,ST-287,서울특별시 영등포구 당산동4가 96-2,제2구민체육센타 앞,37.526386,126.902756
관악구,3813. 낙성대역 5번출구,202502,160,161,낙성대역 5번출구,ST-1261,서울특별시 관악구 남부순환로 1917,낙성대역 5번출구,0.0,0.0
영등포구,239. 유스호스텔 앞,202502,714,724,유스호스텔 앞,ST-288,서울특별시 영등포구 영등포동7가 58-2,유스호스텔 앞,37.525852,126.903282
영등포구,240. 문래역 4번출구 앞,202502,2384,2340,문래역 4번출구 앞,ST-289,서울특별시 영등포구 문래동3가 55-12,문래역 4번출구 앞,37.518738,126.895576
영등포구,242. 신길선원가와인아파트 앞,202502,648,343,신길선원가와인아파트 앞,ST-291,서울특별시 영등포구 신길동 215-28,신길선원가와인아파트 앞,37.510933,126.910225
영등포구,243. 이앤씨드림타워 앞,202502,2045,2142,이앤씨드림타워 앞,ST-292,서울특별시 영등포구 양평동3가 48-1,이앤씨드림타워 앞,37.527084,126.89138
영등포구,244. 영등포삼환아파트 앞,202502,984,907,영등포삼환아파트 앞,ST-293,서울특별시 영등포구 영등포동8가 82-4,영등포삼환아파트 앞,37.530079,126.905708
영등포구,245. 삼성생명 당산사옥 앞,202502,1989,1968,삼성생명 당산사옥 앞,ST-294,서울특별시 영등포구 당산동4가 35-24,삼성생명 당산사옥 앞,37.528263,126.896629
영등포구,248. 초원아파트 앞,202502,343,320,초원아파트 앞,ST-296,서울특별시 영등포구 여의도동8-13,초원아파트 앞,37.531055,126.92421
영등포구,251. 서울지방병무청 버스정류장,202502,433,379,서울지방병무청 버스정류장,ST-299,서울특별시 영등포구 신길동853,서울지방병무청 버스정류장,37.504494,126.921951
영등포구,254. 도림신협 앞,202502,848,865,도림신협 앞,ST-302,서울특별시 영등포구 신길동263-76,도림신협 앞,37.503803,126.903419
영등포구,256. 동아에코빌입구,202502,629,607,동아에코빌입구,ST-304,서울특별시 영등포구 도림동 159-70,동아에코빌입구,37.509476,126.8993
영등포구,258. 신길역3번출구,202502,1046,1181,신길역3번출구,ST-306,서울특별시 영등포구 영등포동1가35,신길역3번출구,37.517693,126.914299
영등포구,259. 대방역6번출구,202502,1562,1669,대방역6번출구,ST-307,서울특별시 영등포구 신길동1368,대방역6번출구,37.513592,126.925934
양천구,700. KB국민은행 염창역 지점 앞,202502,607,524,KB국민은행 염창역 지점 앞,ST-308,서울특별시 양천구 목동 559,KB국민은행 염창역 지점 앞,37.546848,126.872772
양천구,701. 목동사거리 부근,202502,897,924,목동사거리 부근,ST-309,서울특별시 양천구 목동 813,목동사거리 부근,37.532803,126.86393
양천구,702. 목4동주민센터 옆,202502,1086,1078,목4동주민센터 옆,ST-310,서울특별시 양천구 목동 904-3,목4동주민센터 옆,37.532543,126.868729
양천구,704. 남부법원검찰청 교차로,202502,1416,1423,남부법원검찰청 교차로,ST-312,서울특별시 양천구 신정동 1095,남부법원검찰청 교차로,37.523254,126.864906
양천구,706. 신정네거리역,202502,586,551,신정네거리역,ST-313,서울특별시 양천구 신월동 894,신정네거리역,37.521881,126.851753
양천구,708. 서울출입국관리사무소 앞,202502,2621,2576,서울출입국관리사무소 앞,ST-315,서울특별시 양천구 신정동 319-3,서울출입국관리사무소 앞,37.51897,126.869965
양천구,709. 신정3동 현장민원실 앞,202502,296,289,신정3동 현장민원실 앞,ST-316,서울특별시 양천구 신정동 760-2,신정3동 현장민원실 앞,37.511585,126.84156
양천구,711. 신일해피트리아파트 앞,202502,588,151,신일해피트리아파트 앞,ST-318,서울특별시 양천구 신월동 1063-4,신일해피트리아파트 앞,37.517059,126.848488
양천구,712. 강월초교입구 사거리,202502,357,478,강월초교입구 사거리,ST-319,서울특별시 양천구 신월동 905,강월초교입구 사거리,37.516998,126.838318
양천구,713. 양서중학교 옆,202502,402,330,양서중학교 옆,ST-320,서울특별시 양천구 신월동 790,양서중학교 옆,37.533047,126.829956
양천구,714. 한국SGI 양천문화회관 앞,202502,432,375,한국SGI 양천문화회관 앞,ST-321,서울특별시 양천구 신월동 790,한국SGI 양천문화회관 앞,37.532547,126.830803
용산구,800. 목월공원 앞,202502,441,311,목월공원 앞,ST-322,서울특별시 용산구 원효로4가 109-10,목월공원 앞,37.532433,126.954742
용산구,802. 한강진역 2번 출구 앞,202502,230,86,한강진역 2번 출구 앞,ST-324,서울특별시 용산구 한남동 726-494,한강진역 2번 출구 앞,37.541153,127.002213
용산구,805. 문배어린이공원 앞,202502,433,439,문배어린이공원 앞,ST-326,서울특별시 용산구 문배동 34-10,문배어린이공원 앞,37.536758,126.970001
용산구,806. 전자랜드 본관 앞,202502,513,475,전자랜드 본관 앞,ST-327,서울특별시 용산구 한강로3가 16-8,전자랜드 본관 앞,37.533066,126.960732
용산구,807. 서울역 12번 출구 앞,202502,384,384,서울역 12번 출구 앞,ST-328,서울특별시 용산구 동자동 14-229,서울역 12번 출구 앞,37.552277,126.972687
용산구,808. 서빙고동 금호맨션 앞,202502,88,115,서빙고동 금호맨션 앞,ST-329,서울특별시 용산구 서빙고동 235-5,서빙고동 금호맨션 앞,37.520504,126.989738
용산구,809. 한남 유수지 복개주차장,202502,255,328,한남 유수지 복개주차장,ST-330,서울특별시 용산구 독서당로 18,한남 유수지 복개주차장,37.530167,127.007439
용산구,810. 이태원지하보도,202502,257,268,이태원지하보도,ST-331,서울특별시 용산구 용산동2가 5-1812,이태원지하보도,37.53841,126.986649
영등포구,5878. 우리은행 앞,202502,1146,1115,우리은행 앞,ST-1464,서울특별시 도봉구 도봉로 707,우리은행 앞,37.667599,127.042999
용산구,811. 녹사평역1번출구,202502,286,85,녹사평역1번출구,ST-332,서울특별시 용산구 용산동2가 6-7,녹사평역1번출구,37.53508,126.985382
용산구,813. 삼각지역 3번출구,202502,298,318,삼각지역 3번출구,ST-334,서울특별시 용산구 한강로1가 228-1,삼각지역 3번출구,37.533512,126.972275
용산구,815. LIG강촌아파트 103동앞,202502,390,426,LIG강촌아파트 103동앞,ST-335,서울특별시 용산구 이촌동301-5,LIG강촌아파트 103동앞,37.518509,126.978798
종로구,385. 종각역 5번출구,202502,783,891,종각역 5번출구,ST-336,서울특별시 종로구 서린동 26-1,종각역 5번출구,37.569836,126.982658
중구,387. 훈련원공원주차장 앞,202502,523,545,훈련원공원주차장 앞,ST-338,서울특별시 중구 을지로 227,훈련원공원주차장 앞,37.566994,127.003464
마포구,181. 망원초록길 입구,202502,300,269,망원초록길 입구,ST-339,서울특별시 마포구 마포나루길 467,망원초록길 입구,37.551342,126.902672
마포구,185. 마포 신수공원 앞,202502,477,316,마포 신수공원 앞,ST-343,서울특별시 마포구 현석동 106-32,마포 신수공원 앞,37.542545,126.934296
마포구,186. 월드컵공원,202502,684,676,월드컵공원,ST-344,서울특별시 마포구 하늘공원로 108-1,월드컵공원,37.563965,126.898209
